ride_id,rideable_type,date_time,ended_at,start_station_ne,start_station_id,end_station_ne,end_station_id,latitude,longitude,end_lat,end_lng,member_casual
22D0728489511869,docked_bike,5/5/2020 8:13,5/5/2020 8:21,Desplaines St & Kinzie St,56,Wabash Ave & Grand Ave,199,41.8887,-87.6444,41.8915,-87.6268,member
A812BD800568C649,docked_bike,5/5/2020 15:58,5/5/2020 16:14,Clark St & Randolph St,51,Wabash Ave & Grand Ave,199,41.8846,-87.6319,41.8915,-87.6268,member
206A5BBBD0E476FD,docked_bike,5/23/2020 14:51,5/23/2020 15:39,Wentworth Ave & 24th St (Temp),132,Wentworth Ave & Cermak Rd (Temp),120,41.8501,-87.6321,41.853,-87.6306,member
32E03704FABD3FFC,docked_bike,5/25/2020 10:55,5/25/2020 11:08,Peoria St & Jackson Blvd,134,Green St & Madison St,198,41.8776,-87.6496,41.8819,-87.6488,member
25E3BF182CC48693,docked_bike,5/20/2020 19:13,5/20/2020 19:24,Wabash Ave & 16th St,72,State St & Randolph St,44,41.8604,-87.6258,41.8847,-87.6277,member
CBAA25AFE35A3549,docked_bike,5/8/2020 15:01,5/8/2020 15:14,Indiana Ave & 26th St,147,Michigan Ave & 8th St,623,41.8457,-87.6225,41.8728,-87.624,member
0C13B7C3722D77CF,docked_bike,5/12/2020 9:43,5/12/2020 9:58,McClurg Ct & Illinois St,26,Wabash Ave & Grand Ave,199,41.8904,-87.6175,41.8915,-87.6268,member
AE64DD7A3F922400,docked_bike,5/27/2020 10:49,5/27/2020 10:51,McClurg Ct & Illinois St,26,Fairbanks Ct & Grand Ave,24,41.8904,-87.6175,41.8918,-87.6206,member
CF441BB010D1A7C7,docked_bike,5/16/2020 19:41,5/16/2020 20:10,Morgan St & Lake St,71,Wabash Ave & 9th St,321,41.8855,-87.6523,41.8708,-87.6257,member
1F0F61B5E49F9F88,docked_bike,5/7/2020 10:31,5/7/2020 10:59,Canal St & Harrison St,169,Wabash Ave & Cermak Rd,42,41.8743,-87.6396,41.8526,-87.6265,member
6FB397E21D0C9048,docked_bike,5/15/2020 9:09,5/15/2020 9:14,Orleans St & Elm St,23,Larrabee St & Division St,359,41.9029,-87.6377,41.9035,-87.6434,member
1855918B22B68D54,docked_bike,5/25/2020 19:15,5/25/2020 19:32,Rush St & Cedar St,172,Clark St & Elm St,176,41.9023,-87.6277,41.903,-87.6313,member
E6AD06C5E418D9B0,docked_bike,5/16/2020 18:58,5/16/2020 19:07,Green St & Randolph St,112,Green St & Randolph St,112,41.8837,-87.6487,41.8837,-87.6487,member
